GRAPH_ID,OUTLET_ID,RAIN_START,RAIN_END,HYDRO_START,PEAK_TIME,HYDRO_END,SAMPLE_START,SAMPLE_END,EVENT_TYPE,EVENT_GRADE,COMPOUND_EVENT,PEAK_COUNT,SOURCE_RAIN_EVENT_IDS,SOURCE_RAIN_EVENT_COUNT,BASIN_ID,SOURCE_HYDRO_END,TIME_CONTRACT_STATUS,TIME_CONTRACT_ACTION,TIME_CONTRACT_REASON,EVENT_ID,SOURCE_EVENT_IDS,SOURCE_EVENT_COUNT,EVENT_MERGE_STATUS,SPLIT,SPLIT_REASON,EVENT_YEAR
B034,61711890,2024-02-14 20:00:00,2024-02-16 10:00:00,2024-02-15 04:00:00,2024-02-15 06:00:00,2024-02-16 22:00:00,2024-02-12 20:00:00,2024-02-18 10:00:00,HYDRO_FLOOD,A,False,1,B034_R00037,1,B034,2024-02-16 22:00:00,UNCHANGED,NONE,,B034_F0014,B034_F0014,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B022,612E2800,2024-02-14 20:00:00,2024-02-15 08:00:00,2024-02-15 01:00:00,2024-02-15 07:00:00,2024-02-16 11:00:00,2024-02-12 20:00:00,2024-02-17 08:00:00,HYDRO_FLOOD,A,False,1,B022_R00119,1,B022,2024-02-16 11:00:00,UNCHANGED,NONE,,B022_F0022,B022_F0022,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B006,61116100,2024-02-14 22:00:00,2024-02-15 08:00:00,2024-02-15 03:00:00,2024-02-15 09:00:00,2024-02-16 17:00:00,2024-02-12 22:00:00,2024-02-17 08:00:00,HYDRO_FLOOD,A,False,1,B006_R00101,1,B006,2024-02-16 17:00:00,UNCHANGED,NONE,,B006_F0022,B006_F0022,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B001,61105000,2024-03-17 15:00:00,2024-03-19 08:00:00,2024-03-18 13:00:00,2024-03-18 20:00:00,2024-03-19 11:00:00,2024-03-15 15:00:00,2024-03-21 08:00:00,HYDRO_FLOOD,A,False,1,B001_R00200,1,B001,2024-03-19 11:00:00,UNCHANGED,NONE,,B001_F0006,B001_F0006,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B033,61510100,2024-03-19 07:00:00,2024-03-19 08:00:00,2024-03-19 08:00:00,2024-03-19 09:00:00,2024-03-20 06:00:00,2024-03-17 07:00:00,2024-03-21 08:00:00,HYDRO_FLOOD,A,False,1,B033_R00171,1,B033,2024-03-20 06:00:00,UNCHANGED,NONE,,B033_F0025,B033_F0025,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B034,61711890,2024-03-23 13:00:00,2024-03-24 08:00:00,2024-03-24 00:00:00,2024-03-24 05:00:00,2024-03-24 21:00:00,2024-03-21 13:00:00,2024-03-26 08:00:00,HYDRO_FLOOD,A,False,1,B034_R00039,1,B034,2024-03-24 21:00:00,UNCHANGED,NONE,,B034_F0015,B034_F0015,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B031,61402050,2024-03-24 21:00:00,2024-03-25 14:00:00,2024-03-25 04:00:00,2024-03-25 05:00:00,,2024-03-22 21:00:00,2024-03-27 14:00:00,HYDRO_FLOOD,B,False,1,B031_R00153,1,B031,,UNCHANGED,NONE,,B031_F0024,B031_F0024,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B024,613E1540,2024-03-25 02:00:00,2024-03-25 15:00:00,2024-03-25 04:00:00,2024-03-26 10:00:00,,2024-03-23 02:00:00,2024-03-27 15:00:00,HYDRO_FLOOD,B,False,1,B024_R00121,1,B024,,UNCHANGED,NONE,,B024_F0020,B024_F0020,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B032,614E1550,2024-03-27 18:00:00,2024-03-28 08:00:00,2024-03-27 23:00:00,2024-03-28 00:00:00,2024-03-28 13:00:00,2024-03-25 18:00:00,2024-03-30 08:00:00,HYDRO_FLOOD,A,False,1,B032_R00114,1,B032,2024-03-28 13:00:00,UNCHANGED,NONE,,B032_F0026,B032_F0026,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B031,61402050,2024-03-27 18:00:00,2024-03-28 08:00:00,2024-03-27 20:00:00,2024-03-28 01:00:00,,2024-03-25 18:00:00,2024-03-30 08:00:00,HYDRO_FLOOD,B,False,1,B031_R00154,1,B031,,UNCHANGED,NONE,,B031_F0025,B031_F0025,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
