GRAPH_ID,NODE_ID,NODE_INDEX,OUTLET_ID,NODE_TYPE,IS_OUTLET,LON,LAT,IN_DEGREE,OUT_DEGREE,MERIT_UPA_KM2,incremental_area_km2,upstream_area_km2,MERIT_RASTER_SOURCE
Q_611E0380,Q_611E0380_N0003,2,611E0380,CONFLUENCE,0,111.3175,25.40166667,2,1,40.37137985,16.74940122,40.39696503,work_raster
Q_611E0380,Q_611E0380_N0004,3,611E0380,SOURCE,0,111.2875,25.39166667,0,1,10.14894009,10.15536266,10.15536266,work_raster
Q_611E0380,Q_611E0380_N0005,4,611E0380,CONFLUENCE,0,111.315,25.375,2,1,73.90572357,23.40019247,73.95252016,work_raster
Q_611E0380,Q_611E0380_N0006,5,611E0380,SOURCE,0,111.2733333,25.3725,0,1,10.07344246,10.07980374,10.07980374,work_raster
Q_611E0380,Q_611E0380_N0007,6,611E0380,CONFLUENCE,0,111.315,25.3725,2,1,93.09464264,9.121224341,93.15354825,work_raster
Q_611E0380,Q_611E0380_N0008,7,611E0380,OUTLET,1,111.3166667,25.3625,1,0,107.8266525,14.74130269,107.8948509,work_raster
Q_611E0405,Q_611E0405_N0001,0,611E0405,SOURCE,0,111.4858333,25.53,0,1,10.38574696,10.39237732,10.39237732,work_raster
Q_611E0405,Q_611E0405_N0002,1,611E0405,SOURCE,0,111.4075,25.50083333,0,1,11.04582405,11.05285598,11.05285598,work_raster
Q_611E0405,Q_611E0405_N0003,2,611E0405,SOURCE,0,111.4725,25.50083333,0,1,12.44302177,12.45095645,12.45095645,work_raster
Q_611E0405,Q_611E0405_N0004,3,611E0405,SOURCE,0,111.3641667,25.48666667,0,1,10.02565956,10.03204157,10.03204157,work_raster
Q_611E0405,Q_611E0405_N0005,4,611E0405,SOURCE,0,111.3316667,25.4725,0,1,10.65232754,10.65910638,10.65910638,work_raster
Q_611E0405,Q_611E0405_N0006,5,611E0405,SOURCE,0,111.3691667,25.4475,0,1,10.12348652,10.12990227,10.12990227,work_raster
Q_611E0405,Q_611E0405_N0007,6,611E0405,CONFLUENCE,0,111.3775,25.455,2,1,34.68533707,13.91836109,34.70736974,work_raster
Q_611E0405,Q_611E0405_N0008,7,611E0405,CONFLUENCE,0,111.3916667,25.4625,2,1,57.96305084,13.26047095,57.99988227,work_raster
Q_611E0405,Q_611E0405_N0009,8,611E0405,SOURCE,0,111.4,25.42916667,0,1,10.13282204,10.13923668,10.13923668,work_raster
Q_611E0405,Q_611E0405_N0010,9,611E0405,CONFLUENCE,0,111.3991667,25.45916667,2,1,76.62561035,8.535151077,76.67427002,work_raster
Q_611E0405,Q_611E0405_N0011,10,611E0405,CONFLUENCE,0,111.4683333,25.4925,2,1,129.9200439,42.2754766,130.0026026,work_raster
Q_611E0405,Q_611E0405_N0012,11,611E0405,CONFLUENCE,0,111.4775,25.50333333,2,1,144.1099548,1.747997368,144.2015564,work_raster
Q_611E0405,Q_611E0405_N0013,12,611E0405,CONFLUENCE,0,111.5083333,25.52083333,2,1,170.2541962,15.76854354,170.3624773,work_raster
Q_611E0405,Q_611E0405_N0014,13,611E0405,OUTLET,1,111.53,25.51166667,1,0,177.5117493,7.262187984,177.6246653,work_raster
Q_611E1000,Q_611E1000_N0001,0,611E1000,SOURCE,0,112.2866667,26.06916667,0,1,14.06136608,14.07070035,14.07070035,work_raster
Q_611E1000,Q_611E1000_N0002,1,611E1000,SOURCE,0,112.3133333,26.0525,0,1,10.65529251,10.66235966,10.66235966,work_raster
