GRAPH_ID,EDGE_ID,FROM_NODE_ID,TO_NODE_ID,FROM_NODE_INDEX,TO_NODE_INDEX,REACH_LENGTH_M
Q_612E2600,Q_612E2600_E0001,Q_612E2600_N0007,Q_612E2600_N0008,6,7,246.623021
Q_612E2600,Q_612E2600_E0002,Q_612E2600_N0001,Q_612E2600_N0007,0,6,2762.632068
Q_612E2600,Q_612E2600_E0003,Q_612E2600_N0006,Q_612E2600_N0007,5,6,6657.551166
Q_612E2600,Q_612E2600_E0004,Q_612E2600_N0002,Q_612E2600_N0006,1,5,3665.741108
Q_612E2600,Q_612E2600_E0005,Q_612E2600_N0005,Q_612E2600_N0006,4,5,19338.28828
Q_612E2600,Q_612E2600_E0006,Q_612E2600_N0003,Q_612E2600_N0005,2,4,3849.651844
Q_612E2600,Q_612E2600_E0007,Q_612E2600_N0004,Q_612E2600_N0005,3,4,4209.224152
Q_612E2820,Q_612E2820_E0001,Q_612E2820_N0001,Q_612E2820_N0011,0,10,2048.717767
Q_612E2820,Q_612E2820_E0002,Q_612E2820_N0011,Q_612E2820_N0012,10,11,7117.947876
Q_612E2820,Q_612E2820_E0003,Q_612E2820_N0002,Q_612E2820_N0009,1,8,718.1332511
Q_612E2820,Q_612E2820_E0004,Q_612E2820_N0010,Q_612E2820_N0011,9,10,5197.406541
Q_612E2820,Q_612E2820_E0005,Q_612E2820_N0009,Q_612E2820_N0010,8,9,696.8934435
Q_612E2820,Q_612E2820_E0006,Q_612E2820_N0003,Q_612E2820_N0008,2,7,1569.363135
Q_612E2820,Q_612E2820_E0007,Q_612E2820_N0008,Q_612E2820_N0009,7,8,4036.370972
Q_612E2820,Q_612E2820_E0008,Q_612E2820_N0007,Q_612E2820_N0008,6,7,5608.387546
Q_612E2820,Q_612E2820_E0009,Q_612E2820_N0004,Q_612E2820_N0010,3,9,4856.964639
Q_612E2820,Q_612E2820_E0010,Q_612E2820_N0005,Q_612E2820_N0007,4,6,3939.293718
Q_612E2820,Q_612E2820_E0011,Q_612E2820_N0006,Q_612E2820_N0007,5,6,3222.595767
Q_61304550,Q_61304550_E0001,Q_61304550_N0001,Q_61304550_N0002,0,1,2744.465124
Q_61309200,Q_61309200_E0001,Q_61309200_N0001,Q_61309200_N0002,0,1,7523.23008
Q_61310900,Q_61310900_E0001,Q_61310900_N0001,Q_61310900_N0005,0,4,9259.303968
Q_61310900,Q_61310900_E0002,Q_61310900_N0004,Q_61310900_N0005,3,4,3015.411508
Q_61310900,Q_61310900_E0003,Q_61310900_N0002,Q_61310900_N0004,1,3,1346.331374
Q_61310900,Q_61310900_E0004,Q_61310900_N0003,Q_61310900_N0004,2,3,6624.797357
Q_613E2810,Q_613E2810_E0001,Q_613E2810_N0001,Q_613E2810_N0003,0,2,3069.934227
Q_613E2810,Q_613E2810_E0002,Q_613E2810_N0002,Q_613E2810_N0003,1,2,1432.521089
Q_613E2810,Q_613E2810_E0003,Q_613E2810_N0003,Q_613E2810_N0006,2,5,5970.954428
Q_613E2810,Q_613E2810_E0004,Q_613E2810_N0004,Q_613E2810_N0009,3,8,4273.528986
Q_613E2810,Q_613E2810_E0005,Q_613E2810_N0005,Q_613E2810_N0006,4,5,4724.646325
Q_613E2810,Q_613E2810_E0006,Q_613E2810_N0006,Q_613E2810_N0008,5,7,2558.691937
Q_613E2810,Q_613E2810_E0007,Q_613E2810_N0007,Q_613E2810_N0008,6,7,215.3546406
Q_613E2810,Q_613E2810_E0008,Q_613E2810_N0008,Q_613E2810_N0009,7,8,7753.688276
Q_613E2810,Q_613E2810_E0009,Q_613E2810_N0009,Q_613E2810_N0011,8,10,14261.72599
Q_613E2810,Q_613E2810_E0010,Q_613E2810_N0010,Q_613E2810_N0011,9,10,11993.52258
Q_613E2810,Q_613E2810_E0011,Q_613E2810_N0011,Q_613E2810_N0012,10,11,1893.747466
Q_613E2870,Q_613E2870_E0001,Q_613E2870_N0001,Q_613E2870_N0003,0,2,4875.540805
Q_613E2870,Q_613E2870_E0002,Q_613E2870_N0002,Q_613E2870_N0003,1,2,245.8431354
Q_613E2870,Q_613E2870_E0003,Q_613E2870_N0003,Q_613E2870_N0008,2,7,4093.612404
Q_613E2870,Q_613E2870_E0004,Q_613E2870_N0004,Q_613E2870_N0011,3,10,1719.189372
Q_613E2870,Q_613E2870_E0005,Q_613E2870_N0011,Q_613E2870_N0012,10,11,2544.120664
Q_613E2870,Q_613E2870_E0006,Q_613E2870_N0008,Q_613E2870_N0010,7,9,13179.24621
Q_613E2870,Q_613E2870_E0007,Q_613E2870_N0005,Q_613E2870_N0007,4,6,6105.771561
Q_613E2870,Q_613E2870_E0008,Q_613E2870_N0010,Q_613E2870_N0011,9,10,1904.644185
Q_613E2870,Q_613E2870_E0009,Q_613E2870_N0007,Q_613E2870_N0008,6,7,2737.160521
Q_613E2870,Q_613E2870_E0010,Q_613E2870_N0006,Q_613E2870_N0007,5,6,1931.51546
Q_613E2870,Q_613E2870_E0011,Q_613E2870_N0009,Q_613E2870_N0010,8,9,4196.442225
Q_61402050,Q_61402050_E0001,Q_61402050_N0001,Q_61402050_N0004,0,3,1308.865524
Q_61402050,Q_61402050_E0002,Q_61402050_N0004,Q_61402050_N0006,3,5,6447.682562
Q_61402050,Q_61402050_E0003,Q_61402050_N0006,Q_61402050_N0007,5,6,1138.62664
Q_61402050,Q_61402050_E0004,Q_61402050_N0007,Q_61402050_N0008,6,7,446.5141038
Q_61402050,Q_61402050_E0005,Q_61402050_N0002,Q_61402050_N0007,1,6,460.7851716
Q_61402050,Q_61402050_E0006,Q_61402050_N0003,Q_61402050_N0004,2,3,10128.20436
Q_61402050,Q_61402050_E0007,Q_61402050_N0005,Q_61402050_N0006,4,5,7862.637476
Q_62306134,Q_62306134_E0001,Q_62306134_N0009,Q_62306134_N0010,8,9,1593.972856
Q_62306134,Q_62306134_E0002,Q_62306134_N0001,Q_62306134_N0009,0,8,2135.573383
Q_62306134,Q_62306134_E0003,Q_62306134_N0008,Q_62306134_N0009,7,8,1308.492261
Q_62306134,Q_62306134_E0004,Q_62306134_N0002,Q_62306134_N0008,1,7,2605.96331
Q_62306134,Q_62306134_E0005,Q_62306134_N0007,Q_62306134_N0008,6,7,3328.033319
Q_62306134,Q_62306134_E0006,Q_62306134_N0003,Q_62306134_N0007,2,6,1467.67
Q_62306134,Q_62306134_E0007,Q_62306134_N0006,Q_62306134_N0007,5,6,3448.436329
Q_62306134,Q_62306134_E0008,Q_62306134_N0004,Q_62306134_N0006,3,5,2490.797052
Q_62306134,Q_62306134_E0009,Q_62306134_N0005,Q_62306134_N0006,4,5,4531.733871
