GRAPH_ID,BASIN_ID,NODE_INDEX,STATION_ID,OUTLET_ID,ROLE,IS_OUTLET,STATIC_QC,log_incremental_area,log_upstream_area,mean_hillslope_flow_distance_m,mean_slope_deg,elevation_std_m,drainage_density_km_per_km2,soil_log_ksat_0_30cm,soil_profile_depth_cm,forest_fraction,impervious_fraction
B017,B017,2,611K1656,611H1650,upstream,0,ACCEPT,4.680525458,4.679860743,923.6593407,23.73753359,279.2498156,0.4984089656,1.451115568,88.24385834,0.6737160121,0.004380127698
B017,B017,3,611E1800,611H1650,upstream,0,ACCEPT,5.078956151,5.588199966,911.2546149,25.70465152,332.1692267,0.5661243046,1.556699912,91.07325745,0.8135135135,0.005678454017
B017,B017,4,611H1650,611H1650,outlet,1,ACCEPT,5.407060622,6.220977177,965.6011901,25.17297384,389.8446357,0.5549537194,1.586324513,87.9369278,0.7325524646,0.007918263091
B018,B018,0,611H2032,611H2032,outlet,1,ACCEPT,0.07995642746,0.07989797712,2155.739063,2.893623978,7.039853781,0,1.460161308,93.36000061,0,0.03260869565
B019,B019,0,612H0511,612E1060,upstream,0,ACCEPT,1.467058736,1.466503746,1226.737912,25.68016296,145.8684202,0.2817041338,1.634150724,93.83000183,0.7741935484,0.004585918533
B019,B019,1,612H0510,612E1060,upstream,0,ACCEPT,1.810689648,1.810089109,1252.976092,30.01098087,148.4701626,0.1929994539,1.586574713,93.06000519,0.5319148936,0.003336259877
B019,B019,2,612K0504,612E1060,upstream,0,ACCEPT,1.866187178,1.865579351,1251.82392,15.34390859,25.5816341,0.2318340278,1.107468208,94.24499512,0,0.01072430292
B019,B019,3,612H0500,612E1060,upstream,0,ACCEPT,5.197684598,5.196966525,932.9275293,24.66333566,290.3128962,0.5696456978,1.570931236,93.06156158,0.4787806336,0.01269193041
B019,B019,4,612E1060,612E1060,outlet,1,ACCEPT,5.284353711,5.967975026,1040.344772,13.71084949,219.2587842,0.6588197504,1.410807351,95.87034607,0.193231441,0.09663484027
B020,B020,0,612E1940,612E1940,outlet,1,ACCEPT,4.850528346,4.849773053,912.6165263,19.66598127,127.8962449,0.5694451638,1.30820471,94.02217102,0.2760067114,0.03354671133
B021,B021,0,612H1255,612E2390,upstream,0,ACCEPT,4.824251308,4.823485572,884.8488547,28.1232007,169.6491226,0.5333827495,1.636880914,91.55828094,0.8313253012,0.00434506842
B021,B021,1,612E2390,612E2390,outlet,1,ACCEPT,2.148439739,4.88252607,1164.172829,23.73965437,102.5875787,0.52475686,1.650479933,93.62000275,0.2857142857,0.04519505233
B022,B022,0,612E2790,612E2800,upstream,0,ACCEPT,5.253763033,5.25299225,939.2695238,21.12252753,163.8008656,0.5465976598,1.299844066,95.7747879,0.1903171953,0.02244587168
B022,B022,1,612E2800,612E2800,outlet,1,ACCEPT,3.972106223,5.493855401,1131.610716,14.33621507,95.7915641,0.5264618109,1.171414018,96.77468872,0.07739307536,0.05391682785
B023,B023,0,613H0213,613E1450,upstream,0,ACCEPT,2.960944111,2.960231348,902.4852791,18.25386581,65.53585729,0.572132977,0.8927803536,80.31306458,0,0.0561593312
B023,B023,1,613H0215,613E1450,upstream,0,ACCEPT,2.963261487,2.962552853,947.5089322,17.50663074,48.59807244,0.5654286774,0.9487998188,82.95500946,0,0.03312588818
